Nome_Mercado;bairro;Cod_setor
Confiança;centro;350600305000025
Confiança;centro;350600305000061
Tenda;centro;350600305000144
Pão de Açúcar;vila_santa_tereza;350600305000104
Tauste;vila_america;350600305000104
Tauste;vila_cardia;350600305000148
Pão de Açúcar;jardim_estoril;350600305000107
Confiança;jardim_estoril;350600305000155
Confiança;jardim_contorno;350600305000377
SuperBom;jardim_maramba;350600305000490
Kipreço;jardim_america;350600305000344
Qualidade;vila_sao_francisco;350600305000482
Pacaembu;paraque_das_nacoes;350600305000157
Tobaro;vila_aviacao;350600305000509
Tobaro;vila_nova_cidade_universitaria;350600305000258