valor;bairro;compra_ou_aluguel;perto_de_comercio;perto_de_avenidas;area;Cod_setor;link
13500;Centro;alguel;1;1;900;350600305000025;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-centro-bauru-sp-900m2-id-2692651656/
4000;Centro;aluguel;1;1;440;350600305000059;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-centro-bauru-sp-440m2-id-2746713520/
6000;Centro;aluguel;1;1;370;350600305000061;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-com-cozinha-centro-bauru-sp-370m2-id-2696572014/
16000;Centro;aluguel;1;1;950;350600305000102;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-centro-bauru-sp-949m2-id-2740027747/
4800;Jardim Auri Verde;aluguel;0;1;400;350600305000194;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-jardim-auri-verde-bauru-sp-400m2-id-2750065587/
2500000;Jardim Colonial;compra;1;1;1100;350600305000505;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-cozinha-jardim-colonial-bauru-sp-1100m2-id-2671087824/
6200;Jardim Contorno;alguel;0;1;350;350600305000195;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-jardim-contorno-bauru-sp-350m2-id-2729158527/
18000;Jardim Infante Dom Henrique;alguel;1;1;700;350600305000497;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-jardim-infante-dom-henrique-bauru-sp-700m2-id-2734562831/
4300000;Jardim Infante Dom Henrique;compra;1;1;700;350600305000297;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-jardim-infante-dom-henrique-bauru-sp-700m2-id-2734562831/
70000;Jardim Mary;aluguel;0;1;3200;350600305000191;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-aviacao-b-bauru-sp-3620m2-id-2711056629/
55000;Jardim Santos Dumont;aluguel;0;1;3900;350600305000537;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-jardim-santos-dumont-bauru-sp-3900m2-id-2572454588/
8500000;Jardim Santos Dumont;compra;0;1;3900;350600305000537;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-jardim-santos-dumont-bauru-sp-3900m2-id-2572454588/
7000;Jardim Terra Branca;aluguel;1;1;500;350600305000481;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-com-escritorio-jardim-terra-branca-bauru-sp-500m2-id-2738682898/
6000;Residencial Parque Granja Cecilia B;aluguel;1;1;500;350600305000204;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-residencial-parque-granja-cecilia-b-bauru-sp-500m2-id-2736124215/
30000;Vila Aviação;aluguel;0;1;755;350600305000538;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-aviacao-bauru-sp-755m2-id-2624614934/
190000;Vila Aviação B;compra;0;1;7500;350600305000377;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-com-cozinha-vila-aviacao-b-bauru-sp-7500m2-id-2749333528/
35000;Vila Bela;aluguel;1;1;3500;350600305000204;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-bela-bauru-sp-3500m2-id-2754792526/
6000;Vila Cardia;aluguel;1;1;360;350600305000144;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-cardia-bauru-sp-360m2-id-2748692304/
25000;Vila Cardia;aluguel;1;1;1175;350600305000099;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-cozinha-vila-cardia-bauru-sp-1176m2-id-2728770134/
2200000;Vila Cardia;compra;1;1;1175;350600305000191;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-cozinha-vila-cardia-bauru-sp-1176m2-id-2728770134/
5900;Vila Engler;aluguel;0;1;407;350600305000256;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-com-copa-vila-engler-bauru-sp-407m2-id-2728880476/
4500;Vila Engler;aluguel;0;1;300;350600305000490;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-engler-bauru-sp-300m2-id-2730376975/
2500000;Vila Flores;compra;1;1;1800;350600305000252;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-4-quartos-vila-flores-bauru-sp-1180m2-id-2689262432/
30000000;Vila Guedes de Azevedo;compra;0;1;5000;350600305000103;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-cozinha-vila-guedes-de-azevedo-bauru-sp-5000m2-id-2574523015/
40000;Vila Mesquita;aluguel;1;1;960;350600305000104;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-frente-para-o-mar-vila-mesquita-bauru-sp-960m2-id-2745316693/
25000;Vila Mesquita;aluguel;1;1;800;350600305000105;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-com-cozinha-vila-mesquita-bauru-sp-800m2-id-2661731754/
7000000;Vila Mesquita;compra;1;1;960;350600305000106;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-frente-para-o-mar-vila-mesquita-bauru-sp-960m2-id-2745316693/
50000;Vila Nova Cidade Universitária;aluguel;1;1;2555;350600305000259;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-nova-cidade-universitaria-bauru-sp-2554m2-id-2648145259/
4500000;Vila Regina;compra;1;1;575;350600305000258;https://www.zapimoveis.com.br/imovel/venda-galpao-deposito-armazem-com-escritorio-vila-regina-bauru-sp-575m2-id-2670607614/
7000;Vila Santista;aluguel;1;1;440;350600305000482;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-santista-bauru-sp-440m2-id-2736128625/
6500;Vila Zillo;aluguel;1;1;450;350600305000202;https://www.zapimoveis.com.br/imovel/aluguel-galpao-deposito-armazem-vila-zillo-bauru-sp-450m2-id-2751144901/